Classement,Nom,Lieu,Lien,Latitude,Longitude
01,FESTIVAL RETRO C TROP,Tilloloy,https://infoconcert.com/festival/festival-retro-c-trop-10451/concerts.html,49.6445464,2.7490099
04,PRINTEMPS DE PEROUGES,Saint Maurice de Remens,https://infoconcert.com/festival/printemps-de-perouges-2390/concerts.html,45.958549,5.2781025
06,PAROLES ET MUSIQUES,Saint Etienne,https://infoconcert.com/festival/paroles-et-musiques-1586/concerts.html,45.4401467,4.3873058
08,MUSICALARUE FESTIVAL,Luxey,https://infoconcert.com/festival/musicalarue-festival-2128/concerts.html,44.2639628,-0.5208838
10,FESTIVAL PAUSE GUITARE,Albi,https://infoconcert.com/festival/festival-pause-guitare-1907/concerts.html,43.9277552,2.147899
11,FRANCOFOLIES DE LA ROCHELLE,La Rochelle,https://infoconcert.com/festival/francofolies-de-la-rochelle-1617/concerts.html,46.159732,-1.1515951
12,LUXEXPO OPEN AIR,Luxembourg,https://infoconcert.com/festival/luxexpo-open-air-16011/concerts.html,49.6112768,6.129799
13,GUITARE EN SCENE,Saint Julien En Genevois,https://infoconcert.com/festival/guitare-en-scene-4787/concerts.html,46.1444789,6.0812467
15,HELLFEST,Clisson,https://infoconcert.com/festival/hellfest-2392/concerts.html,47.0877218,-1.2817422
16,ECAUSSYSTEME FESTIVAL,Gignac,https://infoconcert.com/festival/ecaussysteme-festival-2797/concerts.html,43.6522859,3.5512018
18,FESTIVAL LES VIEILLES CHARRUES,Carhaix Plouguer,https://infoconcert.com/festival/festival-les-vieilles-charrues-1623/concerts.html,48.2764997,-3.5711477
20,BACCHUS FESTIVAL,Argeles Sur Mer,https://infoconcert.com/festival/bacchus-festival-13967/concerts.html,42.5476734,3.0253613
23,LES DEFERLANTES SUD DE FRANCE,Le Barcares,https://infoconcert.com/festival/les-deferlantes-sud-de-france-4554/concerts.html,42.7946794,3.0335243
24,"BOBITAL, L'ARMOR A SONS",Bobital,https://infoconcert.com/festival/bobital-larmor-a-sons-5999/concerts.html,48.413601,-2.102638
25,XMAS VYBE,Bordeaux,https://infoconcert.com/festival/xmas-vybe-15065/concerts.html,44.841225,-0.5800364
26,MONTE CARLO SUMMER FESTIVAL,Monaco,https://infoconcert.com/festival/monte-carlo-summer-festival-3385/concerts.html,43.7323492,7.4276832
27,GAROROCK,Marmande,https://infoconcert.com/festival/garorock-1594/concerts.html,44.5007939,0.164274
28,ALUNA FESTIVAL,Ruoms,https://infoconcert.com/festival/aluna-festival-5263/concerts.html,44.4537244,4.3405992
30,FESTIVAL DU BOUT DU MONDE,Camaret Sur Mer,https://infoconcert.com/festival/festival-du-bout-du-monde-1725/concerts.html,48.2772747,-4.5968963
33,MONTREUX JAZZ FESTIVAL,Montreux,https://infoconcert.com/festival/montreux-jazz-festival-1821/concerts.html,46.4310831,6.9129921
34,COGNAC BLUES PASSIONS,Cognac,https://infoconcert.com/festival/cognac-blues-passions-1984/concerts.html,45.6931647,-0.3250175
37,LA NUIT DE L'ERDRE,Nort sur Erdre,https://infoconcert.com/festival/la-nuit-de-lerdre-2721/concerts.html,47.4398626,-1.499037
38,MARSATAC,Marseille,https://infoconcert.com/festival/marsatac-2003/concerts.html,43.2961743,5.3699525
40,EUROPAVOX,Clermont Ferrand,https://infoconcert.com/festival/europavox-3700/concerts.html,45.7774551,3.0819427
43,BOOMIN FEST,Nantes,https://infoconcert.com/festival/boomin-fest-13379/concerts.html,47.2186371,-1.5541362
44,FESTIVAL CABARET VERT,Charleville Mezieres,https://infoconcert.com/festival/festival-cabaret-vert-3376/concerts.html,49.7735712,4.7206939
45,FESTIVAL LASEMO,Enghien,https://infoconcert.com/festival/festival-lasemo-5271/concerts.html,50.6957066,4.0411928
47,SURGERES BRASS FESTIVAL,Surgeres,https://infoconcert.com/festival/surgeres-brass-festival-10908/concerts.html,46.1052715,-0.7511152
48,FETE DU BRUIT DANS LANDERNEAU,Landerneau,https://infoconcert.com/festival/fete-du-bruit-dans-landerneau-6173/concerts.html,48.4514803,-4.2557901
49,ROSE FESTIVAL,Aussonne,https://infoconcert.com/festival/rose-festival-13587/concerts.html,43.6828953,1.31799
