Classement,Nom,Lieu,Lien,Latitude_top50,Longitude_top50,Nom_clean_top50,Commune_clean_top50,Festival match,Nom du festival,Envergure territoriale,Région principale de déroulement,Département principal de déroulement,Commune principale de déroulement,Site internet du festival,Adresse e-mail,Discipline dominante,Période principale de déroulement du festival,Identifiant,Géocodage xy,Nouvelles sous-catégories spectacle vivant,Nouvelles sous-catégories arts visuels,Nouvelles sous-catégories cinéma et audiovisuel,Nouvelles sous-catégories livre et littérature,Nouvelles sous-catégories musique,Nom_clean_france,Commune_clean_france,Latitude_france,Longitude_france
1,FESTIVAL DE NIMES,Nimes,https://infoconcert.com/festival/festival-de-nimes-1744/concerts.html,43.8374249,4.3600687,festival de nimes,nimes,Les Volques,Les Volques,,Occitanie,Gard,Nimes,Lesvolquesfestival.com,festival.lesvolques@hmail.com,Musique,Après-saison (6 septembre - 31 décembre),FEST_30189_4417,"43.844938394, 4.34806796996",,,,,"['Musiques actuelles et populaires', 'Musique classique et opéra']",les volques,nimes,43.844938394,4.34806796996
2,FESTIVAL PAUSE GUITARE,Albi,https://infoconcert.com/festival/festival-pause-guitare-1907/concerts.html,43.9277552,2.147899,festival pause guitare,albi,Festival Pause guitare à Albi,Festival Pause guitare à Albi,,Occitanie,Tarn,Albi,https://www.pauseguitare.net/,justine@arpegesettremolos.net,Musique,Saison (21 juin - 5 septembre),FEST_81004_116,"43.9258213622, 2.14686328555",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musiques du monde', 'Musique rock et métal', 'Musique classique et opéra']",festival pause guitare à albi,albi,43.9258213622,2.14686328555
3,FRANCOFOLIES DE LA ROCHELLE,La Rochelle,https://infoconcert.com/festival/francofolies-de-la-rochelle-1617/concerts.html,46.159732,-1.1515951,francofolies de la rochelle,la rochelle,Fema - Festival La Rochelle Cinéma,Fema - Festival La Rochelle Cinéma,,Nouvelle-Aquitaine,Charente-Maritime,La Rochelle,http://www.festival-larochelle.org/,info@festival-larochelle.org,"Cinéma, audiovisuel",Saison (21 juin - 5 septembre),FEST_17300_2820,"46.1620643972, -1.17465702836",,,,,,fema - festival la rochelle cinéma,la rochelle,46.1620643972,-1.17465702836
4,PRINTEMPS DE PEROUGES,Saint Maurice de Remens,https://infoconcert.com/festival/printemps-de-perouges-2390/concerts.html,45.958549,5.2781025,printemps de perouges,saint maurice de remens,Printemps des poètes,Printemps des poètes,Intercommunale,Auvergne-Rhône-Alpes,Isère,Villefontaine,https://www.printempsdespoetes.com/Mairie-de-Villefontaine,,"Livre, littérature",Avant-saison (1er janvier - 20 juin),FEST_38553_7086,"45.6136289454, 5.15547673355",,,,,,printemps des poètes,villefontaine,45.6136289454,5.15547673355
5,FESTIVAL RETRO C TROP,Tilloloy,https://infoconcert.com/festival/festival-retro-c-trop-10451/concerts.html,49.6445464,2.7490099,festival retro c trop,tilloloy,Rétro C trop,Rétro C trop,,Hauts-de-France,Somme,Tilloloy,retroctrop.fr,anne@ginger.fr,Musique,Saison (21 juin - 5 septembre),FEST_80759_6581,"49.6416492977, 2.74418919931",,,,,"['Musiques actuelles et populaires', 'Musiques du monde', 'Musique rock et métal']",rétro c trop,tilloloy,49.6416492977,2.74418919931
6,MUSICALARUE FESTIVAL,Luxey,https://infoconcert.com/festival/musicalarue-festival-2128/concerts.html,44.2639628,-0.5208838,musicalarue festival,luxey,Musicalarue,Musicalarue,,Nouvelle-Aquitaine,Landes,Luxey,http://www.musicalarue.com/,info@musicalarue.com,Spectacle vivant,Saison (21 juin - 5 septembre),FEST_40167_3505,"44.2207948584, -0.515670146445",['Pluridisciplinaire'],,,,,musicalarue,luxey,44.2207948584,-0.515670146445
7,PAROLES ET MUSIQUES,Saint Etienne,https://infoconcert.com/festival/paroles-et-musiques-1586/concerts.html,45.4401467,4.3873058,paroles et musiques,saint etienne,Paroles et musiques,Paroles et musiques,,Auvergne-Rhône-Alpes,Loire,Saint-Étienne,www.festivalpm.com,simon@festivalpm.com,Musique,Avant-saison (1er janvier - 20 juin),FEST_42218_5822,"45.4301235512, 4.37913997076",,,,,['Musique classique et opéra'],paroles et musiques,saint-étienne,45.4301235512,4.37913997076
8,LES DEFERLANTES SUD DE FRANCE,Le Barcares,https://infoconcert.com/festival/les-deferlantes-sud-de-france-4554/concerts.html,42.7946794,3.0335243,les deferlantes sud de france,le barcares,Festival andalou,Festival andalou,Régionale,Provence-Alpes-Côte d'Azur,Vaucluse,Avignon,https://lefestivalandalou.com/,contact@lefestivalandalou.com,Musique,Avant-saison (1er janvier - 20 juin),FEST_84007_514,"43.9352448339, 4.84071572505",,,,,['Musiques du monde'],festival andalou,avignon,43.9352448339,4.84071572505
9,HEAVY WEEKEND FESTIVAL,Nancy,https://infoconcert.com/festival/heavy-weekend-festival-15991/concerts.html,48.6937223,6.1834097,heavy weekend festival,nancy,Nancy Jazz Pulsations,Nancy Jazz Pulsations,,Grand Est,Meurthe-et-Moselle,Nancy,www.nancyjazzpulsations.com,contact@nancyjazzpulsations.com,Musique,Saison (21 juin - 5 septembre),FEST_54395_4268,"48.6901995499, 6.17588254434",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musiques du monde', 'Musique rock et métal']",nancy jazz pulsations,nancy,48.6901995499,6.17588254434
10,JAZZ A VIENNE,Vienne,https://infoconcert.com/festival/jazz-a-vienne-1533/concerts.html,48.2083537,16.3725042,jazz a vienne,vienne,Jazz à Vienne,Jazz à Vienne,,Auvergne-Rhône-Alpes,Isère,Vienne,www.jazzavienne.com,contact@jazzavienne.com,Musique,Saison (21 juin - 5 septembre),FEST_38544_7053,"45.520578372, 4.88135156154",,,,,"['Jazz, blues, RnB']",jazz à vienne,vienne,45.520578372,4.88135156154
11,ECAUSSYSTEME FESTIVAL,Gignac,https://infoconcert.com/festival/ecaussysteme-festival-2797/concerts.html,43.6522859,3.5512018,ecaussysteme festival,gignac,Or notes festival,Or notes festival,,Occitanie,Hérault,Gignac,https://www.ornotesfestival.fr/,,Musique,Avant-saison (1er janvier - 20 juin),FEST_34114_2400,"43.6393937216, 3.57384628868",,,,,,or notes festival,gignac,43.6393937216,3.57384628868
12,"ACOUSTIC, LE FESTIVAL",Le Poire Sur Vie,https://infoconcert.com/festival/acoustic-le-festival-6495/concerts.html,46.7682395,-1.5094862,"acoustic, le festival",le poire sur vie,Acoustic Festival,Acoustic Festival,,Pays de la Loire,Vendée,Le Poiré-sur-Vie,www.acoustic-festival.fr,contact@acoustic-festival.fr,Musique,Avant-saison (1er janvier - 20 juin),FEST_85178_3159,"46.769919754, -1.50488626452",,,,,['Musiques électroniques'],acoustic festival,le poiré-sur-vie,46.769919754,-1.50488626452
13,FESTIVAL DE CARCASSONNE,Carcassonne,https://infoconcert.com/festival/festival-de-carcassonne-1891/concerts.html,43.2130358,2.3491069,festival de carcassonne,carcassonne,Festival de Carcassonne,Festival de Carcassonne,Plusieurs scènes dans une ville,Occitanie,Aude,Carcassonne,www.festivaldecarcassonne.fr,Communication@mairie-carcassonne.fr,Spectacle vivant,Saison (21 juin - 5 septembre),FEST_11069_1253,"43.2093798444, 2.34398855385",,,,,,festival de carcassonne,carcassonne,43.2093798444,2.34398855385
14,MOTOCULTOR FESTIVAL,Carhaix Plouguer,https://infoconcert.com/festival/motocultor-festival-6755/concerts.html,48.2764997,-3.5711477,motocultor festival,carhaix plouguer,Les Vieilles Charrues,Les Vieilles Charrues,,Bretagne,Finistère,Carhaix-Plouguer,http://www.vieillescharrues.asso.fr/,info@vieillescharrues.asso.fr,Musique,Saison (21 juin - 5 septembre),FEST_29024_1267,"48.2687578823, -3.56626363851",,,,,['Musiques actuelles et populaires'],les vieilles charrues,carhaix-plouguer,48.2687578823,-3.56626363851
15,FESTIVAL LES NUITS DE FOURVIERE,Lyon,https://infoconcert.com/festival/festival-les-nuits-de-fourviere-1771/concerts.html,45.7578137,4.8320114,festival les nuits de fourviere,lyon,Éclats d'arfi,Éclats d'arfi,,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,www.arfi.org,,Musique,Après-saison (6 septembre - 31 décembre),FEST_69123_3530,"45.759723, 4.842223",,,,,,éclats d'arfi,lyon,45.759723,4.842223
16,MONTJOUX FESTIVAL,Thonon Les Bains,https://infoconcert.com/festival/montjoux-festival-1765/concerts.html,46.3731303,6.4779448,montjoux festival,thonon les bains,Montjoux festival,Montjoux festival,,Auvergne-Rhône-Alpes,Haute-Savoie,Thonon-les-Bains,www.montjouxfestival.com,,Musique,Saison (21 juin - 5 septembre),FEST_74281_6566,"46.3704258049, 6.48194336071",,,,,['Musiques actuelles et populaires'],montjoux festival,thonon-les-bains,46.3704258049,6.48194336071
17,MUSILAC,Aix Les Bains,https://infoconcert.com/festival/musilac-1828/concerts.html,45.6886292,5.9146362,musilac,aix les bains,Musilac,Musilac,,Auvergne-Rhône-Alpes,Savoie,Aix-les-Bains,musilac.com,bruno@rpo.net,Musique,Saison (21 juin - 5 septembre),FEST_73008_77,"45.6978541675, 5.90388626955",,,,,"['Musiques actuelles et populaires', 'Musiques du monde', 'Musiques électroniques', 'Musique rock et métal']",musilac,aix-les-bains,45.6978541675,5.90388626955
18,LUXEXPO OPEN AIR,Luxembourg,https://infoconcert.com/festival/luxexpo-open-air-16011/concerts.html,49.6112768,6.129799,luxexpo open air,luxembourg,Festival andalou,Festival andalou,Régionale,Provence-Alpes-Côte d'Azur,Vaucluse,Avignon,https://lefestivalandalou.com/,contact@lefestivalandalou.com,Musique,Avant-saison (1er janvier - 20 juin),FEST_84007_514,"43.9352448339, 4.84071572505",,,,,['Musiques du monde'],festival andalou,avignon,43.9352448339,4.84071572505
19,FESTIVAL LASEMO,Enghien,https://infoconcert.com/festival/festival-lasemo-5271/concerts.html,50.6957066,4.0411928,festival lasemo,enghien,Festival Flam',Festival Flam',,Nouvelle-Aquitaine,Gironde,Bayon-sur-Gironde,http://www.festivalflam.fr/,contact@festivalflam.fr,Musique,Saison (21 juin - 5 septembre),FEST_33035_667,"45.0433426263, -0.609639022961",,,,,['Musique classique et opéra'],festival flam',bayon-sur-gironde,45.0433426263,-0.609639022961
20,JAZZ IN MARCIAC,Marciac,https://infoconcert.com/festival/jazz-in-marciac-1654/concerts.html,43.524063,0.1611521,jazz in marciac,marciac,Jazz in Marciac,Jazz in Marciac,Départementale,Occitanie,Gers,Marciac,jazzinmarciac.com,info@jazzinmarciac.com,Musique,Saison (21 juin - 5 septembre),FEST_32233_3648,"43.521249291, 0.156300856185",,,,,"['Jazz, blues, RnB']",jazz in marciac,marciac,43.521249291,0.156300856185
21,ALUNA FESTIVAL,Ruoms,https://infoconcert.com/festival/aluna-festival-5263/concerts.html,44.4537244,4.3405992,aluna festival,ruoms,Ardèche Aluna festival,Ardèche Aluna festival,,Auvergne-Rhône-Alpes,Ardèche,Ruoms,www.aluna-festival.fr,,Musique,Saison (21 juin - 5 septembre),FEST_07201_5572,"44.4479030757, 4.34786189328",,,,,['Musiques électroniques'],ardèche aluna festival,ruoms,44.4479030757,4.34786189328
22,YZEURES N ROCK,Yzeures sur Creuse,https://infoconcert.com/festival/yzeures-n-rock-8022/concerts.html,46.7852983,0.8699479,yzeures n rock,yzeures sur creuse,Yzeures'n'Rock,Yzeures'n'Rock,,Centre-Val de Loire,Indre-et-Loire,Yzeures-sur-Creuse,yzeuresnrock.com,https://boutique.yzeuresnrock.com/serviceclient/,Musique,Saison (21 juin - 5 septembre),FEST_37282_7235,"46.7902872236, 0.876208149129",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",yzeures'n'rock,yzeures-sur-creuse,46.7902872236,0.876208149129
23,MUSIKS A MANOSQUE,Manosque,https://infoconcert.com/festival/musiks-a-manosque-2561/concerts.html,43.8338026,5.7826657,musiks a manosque,manosque,Musiks à Manosque,Musiks à Manosque,,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Manosque,WWW.culturedlva.fr,bsourice@dlva.fr,Musique,Saison (21 juin - 5 septembre),FEST_04112_3640,"43.8354040831, 5.79106654173",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Jazz, blues, RnB', 'Musiques du monde', 'Musique classique et opéra']",musiks à manosque,manosque,43.8354040831,5.79106654173
24,MONTAUBAN EN SCENES,Montauban,https://infoconcert.com/festival/montauban-en-scenes-9912/concerts.html,44.0175835,1.3549991,montauban en scenes,montauban,Montauban en scènes,Montauban en scènes,,Occitanie,Tarn-et-Garonne,Montauban,https://www.montauban-en-scenes.fr/,festivalmontaubanenscenes@ville-montauban.fr,Musique,Saison (21 juin - 5 septembre),FEST_82121_3983,"44.0222594578, 1.36408636501",,,,,['Musiques actuelles et populaires'],montauban en scènes,montauban,44.0222594578,1.36408636501
25,FESTIVAL LES VIEILLES CHARRUES,Carhaix Plouguer,https://infoconcert.com/festival/festival-les-vieilles-charrues-1623/concerts.html,48.2764997,-3.5711477,festival les vieilles charrues,carhaix plouguer,Les Vieilles Charrues,Les Vieilles Charrues,,Bretagne,Finistère,Carhaix-Plouguer,http://www.vieillescharrues.asso.fr/,info@vieillescharrues.asso.fr,Musique,Saison (21 juin - 5 septembre),FEST_29024_1267,"48.2687578823, -3.56626363851",,,,,['Musiques actuelles et populaires'],les vieilles charrues,carhaix-plouguer,48.2687578823,-3.56626363851
26,FESTIVAL ROCK EN SEINE,Saint Cloud,https://infoconcert.com/festival/festival-rock-en-seine-2385/concerts.html,48.8437412,2.219344,festival rock en seine,saint cloud,Rock en Seine,Rock en Seine,,Île-de-France,Hauts-de-Seine,Saint-Cloud,www.rockenseine.com,ana@rockenseine.com,Musique,Saison (21 juin - 5 septembre),FEST_92064_5718,"48.8428741034, 2.20864570316",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",rock en seine,saint-cloud,48.8428741034,2.20864570316
27,HELLFEST,Clisson,https://infoconcert.com/festival/hellfest-2392/concerts.html,47.0877218,-1.2817422,hellfest,clisson,Hellfest Open Air,Hellfest Open Air,,Pays de la Loire,Loire-Atlantique,Clisson,www.hellfest.fr,joy@hellfest.fr,Musique,Saison (21 juin - 5 septembre),FEST_44043_1700,"47.097896998, -1.27042598067",,,,,['Musique rock et métal'],hellfest open air,clisson,47.097896998,-1.27042598067
28,REPERKUSOUND,Lyon,https://infoconcert.com/festival/reperkusound-4364/concerts.html,45.7578137,4.8320114,reperkusound,lyon,Éclats d'arfi,Éclats d'arfi,,Auvergne-Rhône-Alpes,Métropole de Lyon,Lyon,www.arfi.org,,Musique,Après-saison (6 septembre - 31 décembre),FEST_69123_3530,"45.759723, 4.842223",,,,,,éclats d'arfi,lyon,45.759723,4.842223
29,LES NUITS SECRETES,Aulnoye Aymeries,https://infoconcert.com/festival/les-nuits-secretes-2480/concerts.html,50.2002502,3.8336383,les nuits secretes,aulnoye aymeries,Les nuits secrètes,Les nuits secrètes,Interrégionale,Hauts-de-France,Nord,Aulnoye-Aymeries,https://www.lesnuitssecretes.com,martial@lesnuitssecretes.com,Musique,Saison (21 juin - 5 septembre),FEST_59033_456,"50.2058749072, 3.83263118494",,,,,"['Musiques actuelles et populaires', 'Musique rock et métal', 'Musiques électroniques', 'Musique classique et opéra']",les nuits secrètes,aulnoye-aymeries,50.2058749072,3.83263118494
30,WE LOVE GREEN,Paris,https://infoconcert.com/festival/we-love-green-7591/concerts.html,48.8588897,2.3200410217200766,we love green,paris,Printemps des Rues,Printemps des Rues,Intercommunale,Île-de-France,Paris,Paris,https://www.leprintempsdesrues.com,,Spectacle vivant,Avant-saison (1er janvier - 20 juin),FEST_75110_4896,"48.8567, 2.3508",,,,,,printemps des rues,paris,48.8567,2.3508
31,GUITARE EN SCENE,Saint Julien En Genevois,https://infoconcert.com/festival/guitare-en-scene-4787/concerts.html,46.1444789,6.0812467,guitare en scene,saint julien en genevois,Guitare en scène,Guitare en scène,Régionale,Auvergne-Rhône-Alpes,Haute-Savoie,Saint-Julien-en-Genevois,http://www.guitare-en-scene.com,info@guitare-en-scene.com,Musique,Saison (21 juin - 5 septembre),FEST_74243_5949,"46.139365545, 6.07881171095",,,,,['Musiques électroniques'],guitare en scène,saint-julien-en-genevois,46.139365545,6.07881171095
32,GOLDEN COAST RAP FEST.,Dijon,https://infoconcert.com/festival/golden-coast-rap-fest-15999/concerts.html,47.3215806,5.0414701,golden coast rap fest.,dijon,Prise de CirQ',Prise de CirQ',Intercommunale,Bourgogne-Franche-Comté,Côte-d'Or,Dijon,www.cirqonflex.fr,n.jannaud@cirqonflex.fr,Spectacle vivant,Avant-saison (1er janvier - 20 juin),FEST_21231_1989,"47.3229437965, 5.03788805877",,,,,,prise de cirq',dijon,47.3229437965,5.03788805877
33,PRINTEMPS DE BOURGES CREDIT MUTUEL FESTIVAL,Bourges,https://infoconcert.com/festival/printemps-de-bourges-credit-mutuel-festival-1588/concerts.html,47.0811658,2.399125,printemps de bourges credit mutuel festival,bourges,Le Printemps de Bourges Crédit Mutuel,Le Printemps de Bourges Crédit Mutuel,Départementale,Centre-Val de Loire,Cher,Bourges,www.printemps-bourges.com,contact@printemps-bourges.com,Musique,Avant-saison (1er janvier - 20 juin),FEST_18033_994,"47.0749572013, 2.40417137557",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",le printemps de bourges crédit mutuel,bourges,47.0749572013,2.40417137557
34,GAROROCK,Marmande,https://infoconcert.com/festival/garorock-1594/concerts.html,44.5007939,0.164274,garorock,marmande,Garorock,Garorock,,Nouvelle-Aquitaine,Lot-et-Garonne,Marmande,http://www.garorock.com/,infos@garorock.com,Musique,Saison (21 juin - 5 septembre),FEST_47157_3667,"44.5055176845, 0.172174280849",,,,,['Musiques électroniques'],garorock,marmande,44.5055176845,0.172174280849
35,LA NUIT DE L'ERDRE,Nort sur Erdre,https://infoconcert.com/festival/la-nuit-de-lerdre-2721/concerts.html,47.4398626,-1.499037,la nuit de l'erdre,nort sur erdre,La Nuit De l'Erdre,La Nuit De l'Erdre,,Pays de la Loire,Loire-Atlantique,Nort-sur-Erdre,www.lanuitdelerdre.fr,gabriel.massei@lanuitdelerdre.fr,Musique,Saison (21 juin - 5 septembre),FEST_44110_4473,"47.447122285, -1.51824792558",,,,,"['Musiques actuelles et populaires', 'Musiques électroniques', 'Musique rock et métal', 'Musiques du monde', 'Musique classique et opéra']",la nuit de l'erdre,nort-sur-erdre,47.447122285,-1.51824792558
36,MAIN SQUARE,Arras,https://infoconcert.com/festival/main-square-3915/concerts.html,50.291048,2.7772211,main square,arras,Appel d'air,Appel d'air,,Hauts-de-France,Pas-de-Calais,Arras,https://www.biennaleappeldair.fr/,appeldair5.mem@gmail.com,"Arts visuels, arts numériques",Avant-saison (1er janvier - 20 juin),FEST_62041_371,"50.2898964997, 2.76587316711",,"['Arts urbains', 'Arts plastiques et visuels', 'Photographie, cinéma et audiovisuel', 'Performance et multimédia']",,,,appel d'air,arras,50.2898964997,2.76587316711
37,PALEO FESTIVAL,Nyon,https://infoconcert.com/festival/paleo-festival-1692/concerts.html,46.3820585,6.2402791,paleo festival,nyon,Contes et rencontres,Contes et rencontres,,Auvergne-Rhône-Alpes,Drôme,Nyons,https://contesetrencontres26.fr/,contesetrencontres.nyons@gmail.com,Spectacle vivant,Après-saison (6 septembre - 31 décembre),FEST_26220_4489,"44.3564879814, 5.12880832",['Théâtre'],,,,,contes et rencontres,nyons,44.3564879814,5.12880832
37,PALEO FESTIVAL,Nyon,https://infoconcert.com/festival/paleo-festival-1692/concerts.html,46.3820585,6.2402791,paleo festival,nyon,Contes et rencontres,Contes et rencontres,Départementale,Occitanie,Lozère,Mende,https://lozere.foyersruraux.org/,foyers-ruraux48@orange.fr,Spectacle vivant,Avant-saison (1er janvier - 20 juin),FEST_48095_5087,"44.5294508592, 3.48086881176",['Spectacles pour Jeune Public'],,,,,contes et rencontres,mende,44.5294508592,3.48086881176
