Classement,Nom,Lieu,Lien
01,FESTIVAL DE NIMES,"Nimes
(30)",https://infoconcert.com/festival/festival-de-nimes-1744/concerts.html
02,PRINTEMPS DE PEROUGES,"Saint Maurice de Remens
(01)",https://infoconcert.com/festival/printemps-de-perouges-2390/concerts.html
03,FESTIVAL LES NUITS DE FOURVIERE,"Lyon
(69)",https://infoconcert.com/festival/festival-les-nuits-de-fourviere-1771/concerts.html
04,FESTIVAL DE CARCASSONNE,"Carcassonne
(11)",https://infoconcert.com/festival/festival-de-carcassonne-1891/concerts.html
05,LUXEXPO OPEN AIR,"Luxembourg
(Luxembourg)",https://infoconcert.com/festival/luxexpo-open-air-16011/concerts.html
06,HELLFEST,"Clisson
(44)",https://infoconcert.com/festival/hellfest-2392/concerts.html
07,MUSICALARUE FESTIVAL,"Luxey
(40)",https://infoconcert.com/festival/musicalarue-festival-2128/concerts.html
08,FRANCOFOLIES DE LA ROCHELLE,"La Rochelle
(17)",https://infoconcert.com/festival/francofolies-de-la-rochelle-1617/concerts.html
09,PAROLES ET MUSIQUES,"Saint Etienne
(42)",https://infoconcert.com/festival/paroles-et-musiques-1586/concerts.html
10,FESTIVAL PAUSE GUITARE,"Albi
(81)",https://infoconcert.com/festival/festival-pause-guitare-1907/concerts.html
11,JAZZ IN MARCIAC,"Marciac
(32)",https://infoconcert.com/festival/jazz-in-marciac-1654/concerts.html
12,MOTOCULTOR FESTIVAL,"Carhaix Plouguer
(29)",https://infoconcert.com/festival/motocultor-festival-6755/concerts.html
13,ECAUSSYSTEME FESTIVAL,"Gignac
(46)",https://infoconcert.com/festival/ecaussysteme-festival-2797/concerts.html
14,FESTIVAL LES VIEILLES CHARRUES,"Carhaix Plouguer
(29)",https://infoconcert.com/festival/festival-les-vieilles-charrues-1623/concerts.html
15,FESTIVAL RETRO C TROP,"Tilloloy
(80)",https://infoconcert.com/festival/festival-retro-c-trop-10451/concerts.html
16,GUITARE EN SCENE,"Saint Julien En Genevois
(74)",https://infoconcert.com/festival/guitare-en-scene-4787/concerts.html
17,LES DEFERLANTES SUD DE FRANCE,"Le Barcares
(66)",https://infoconcert.com/festival/les-deferlantes-sud-de-france-4554/concerts.html
18,GAROROCK,"Marmande
(47)",https://infoconcert.com/festival/garorock-1594/concerts.html
19,"BOBITAL, L'ARMOR A SONS","Bobital
(22)",https://infoconcert.com/festival/bobital-larmor-a-sons-5999/concerts.html
20,MONTE CARLO SUMMER FESTIVAL,"Monaco
(Monaco)",https://infoconcert.com/festival/monte-carlo-summer-festival-3385/concerts.html
21,MONTAUBAN EN SCENES,"Montauban
(82)",https://infoconcert.com/festival/montauban-en-scenes-9912/concerts.html
22,LE SON BY TOULON FESTIVAL,"Toulon
(83)",https://infoconcert.com/festival/le-son-by-toulon-festival-15973/concerts.html
23,ALUNA FESTIVAL,"Ruoms
(07)",https://infoconcert.com/festival/aluna-festival-5263/concerts.html
24,FESTIVAL CABARET VERT,"Charleville Mezieres
(08)",https://infoconcert.com/festival/festival-cabaret-vert-3376/concerts.html
25,MARSATAC,"Marseille
(13)",https://infoconcert.com/festival/marsatac-2003/concerts.html
26,JAZZ A VIENNE,"Vienne
(38)",https://infoconcert.com/festival/jazz-a-vienne-1533/concerts.html
27,MUSILAC,"Aix Les Bains
(73)",https://infoconcert.com/festival/musilac-1828/concerts.html
28,MAIN SQUARE,"Arras
(62)",https://infoconcert.com/festival/main-square-3915/concerts.html
29,SLAM DUNK FESTIVAL FRANCE,"Lyon
(69)",https://infoconcert.com/festival/slam-dunk-festival-france-13313/concerts.html
30,MONTREUX JAZZ FESTIVAL,"Montreux
(Suisse)",https://infoconcert.com/festival/montreux-jazz-festival-1821/concerts.html
31,BOOMIN FEST,"Nantes
(44)",https://infoconcert.com/festival/boomin-fest-13379/concerts.html
32,FESTIVAL DE POUPET,"Saint Malo Du Bois
(85)",https://infoconcert.com/festival/festival-de-poupet-1920/concerts.html
33,LOLLAPALOOZA PARIS,"Paris
(75)",https://infoconcert.com/festival/lollapalooza-paris-11215/concerts.html
34,LES INROCKS FESTIVAL,"Paris
(75)",https://infoconcert.com/festival/les-inrocks-festival-1432/concerts.html
35,WE LOVE GREEN,"Paris
(75)",https://infoconcert.com/festival/we-love-green-7591/concerts.html
36,EUROPAVOX,"Clermont Ferrand
(63)",https://infoconcert.com/festival/europavox-3700/concerts.html
37,LES EUROCKEENNES DE BELFORT,"Belfort
(90)",https://infoconcert.com/festival/les-eurockeennes-de-belfort-1554/concerts.html
38,FESTIVAL LASEMO,"Enghien
(Belgique)",https://infoconcert.com/festival/festival-lasemo-5271/concerts.html
39,DELTA FESTIVAL,"Marseille
(13)",https://infoconcert.com/festival/delta-festival-10018/concerts.html
40,XMAS VYBE,"Bordeaux
(33)",https://infoconcert.com/festival/xmas-vybe-15065/concerts.html
41,PALEO FESTIVAL,"Nyon
(Suisse)",https://infoconcert.com/festival/paleo-festival-1692/concerts.html
42,RONQUIERES FESTIVAL,"Ronquieres
(Belgique)",https://infoconcert.com/festival/ronquieres-festival-7906/concerts.html
43,LA NUIT DE L'ERDRE,"Nort sur Erdre
(44)",https://infoconcert.com/festival/la-nuit-de-lerdre-2721/concerts.html
44,FESTIVAL ART ROCK,"Saint Brieuc
(22)",https://infoconcert.com/festival/festival-art-rock-1658/concerts.html
45,FESTIVAL BEAUREGARD,"Herouville Saint Clair
(14)",https://infoconcert.com/festival/festival-beauregard-5877/concerts.html
46,LES NUITS SECRETES,"Aulnoye Aymeries
(59)",https://infoconcert.com/festival/les-nuits-secretes-2480/concerts.html
47,FETE DU BRUIT DANS LANDERNEAU,"Landerneau
(29)",https://infoconcert.com/festival/fete-du-bruit-dans-landerneau-6173/concerts.html
48,REPERKUSOUND,"Lyon
(69)",https://infoconcert.com/festival/reperkusound-4364/concerts.html
49,PRINTEMPS DE BOURGES CREDIT MUTUEL FESTIVAL,"Bourges
(18)",https://infoconcert.com/festival/printemps-de-bourges-credit-mutuel-festival-1588/concerts.html
50,FESTIVAL ODP TALENCE,"Talence
(33)",https://infoconcert.com/festival/festival-odp-talence-9879/concerts.html
